Date,Open,High,Low,Close,Adj Close,Volume
2022-02-02,97.230042,99.353447,93.047806,93.132874,93.132874,127010855
2022-02-03,93.120132,94.575806,91.140602,94.575806,94.575806,121746690
2022-02-04,94.566750,102.957962,94.471977,102.938087,102.938087,161482747
2022-02-05,102.937019,106.296684,102.371582,103.773308,103.773308,166452343
2022-02-06,103.775063,108.626099,103.458710,108.556717,108.556717,154579924
2022-02-07,108.557991,116.704094,106.326836,115.992043,115.992043,185488703
2022-02-08,116.005684,119.160149,109.901230,112.852951,112.852951,208520628
2022-02-09,112.836906,117.685196,110.506386,115.143524,115.143524,177860573
2022-02-10,115.142532,117.264549,110.697968,112.014931,112.014931,202065423
2022-02-11,112.018295,114.267921,103.356651,104.099358,104.099358,191003604
2022-02-12,104.102242,106.502243,100.956207,103.887085,103.887085,159816456
2022-02-13,103.878525,105.646667,101.312286,102.792747,102.792747,148459024
2022-02-14,102.726036,104.616539,99.273544,103.983528,103.983528,143758484
2022-02-15,103.980263,109.701637,103.756607,109.466614,109.466614,135155313
2022-02-16,109.485863,115.906822,106.553848,115.526802,115.526802,206063755
2022-02-17,115.464584,118.384499,103.903046,104.740227,104.740227,253475505
2022-02-18,104.783386,110.471062,103.963440,105.378601,105.378601,193661150
2022-02-19,105.358849,106.602028,100.537781,102.511681,102.511681,160899920
2022-02-20,102.500404,102.500404,95.535095,98.303383,98.303383,167377593
2022-02-21,98.295822,101.349434,87.109810,87.264465,87.264465,244922448
2022-02-22,87.243622,93.658592,85.253014,93.593010,93.593010,193409266
2022-02-23,93.594254,96.099274,88.766830,88.766830,88.766830,163148587
2022-02-24,88.735634,89.400703,77.867737,87.784966,87.784966,266417217
2022-02-25,87.794708,93.802673,86.609802,92.745132,92.745132,175319245
2022-02-26,92.745750,95.181068,92.299675,93.487564,93.487564,141493597
2022-02-27,93.488747,95.328156,87.094643,88.292267,88.292267,163552223
2022-02-28,88.284019,100.345703,87.189140,100.270065,100.270065,186596228
2022-03-01,100.312134,102.538895,97.144730,99.879189,99.879189,198707774
2022-03-02,99.883598,103.188492,97.479942,100.942329,100.942329,207195040
2022-03-03,100.941650,102.522926,95.186554,96.774765,96.774765,189036766
2022-03-04,96.776024,96.911469,88.449684,89.455040,89.455040,170131654
2022-03-05,89.481888,90.269760,87.295082,89.622055,89.622055,136062468
2022-03-06,89.620331,90.492470,85.435997,86.000351,86.000351,145846539
2022-03-07,86.006668,90.387642,84.025345,86.167091,86.167091,180025302
2022-03-08,86.163406,96.874161,85.757332,96.874161,96.874161,221047671
2022-03-09,96.828667,101.501999,96.030312,99.755585,99.755585,289154064
2022-03-10,99.751839,105.188988,93.515198,104.824142,104.824142,409226675
2022-03-11,104.837738,104.837738,95.294060,95.705467,95.705467,279699974
2022-03-12,95.702309,100.963249,95.489998,99.625237,99.625237,191064024
2022-03-13,99.559692,102.479088,92.989212,93.888756,93.888756,203202149
2022-03-14,93.895859,98.565453,92.831795,98.196114,98.196114,207171599
2022-03-15,98.186279,98.288918,93.229790,95.378166,95.378166,184333731
2022-03-16,95.372253,99.105347,95.245087,98.430611,98.430611,216518549
2022-03-17,98.431831,100.042175,96.435715,96.597794,96.597794,185536019
2022-03-18,96.586823,99.185204,93.719093,98.798645,98.798645,210553462
2022-03-19,98.797729,103.976135,98.797729,102.988708,102.988708,226653312
2022-03-20,102.972404,117.541580,101.616386,115.195007,115.195007,588382844
2022-03-21,115.231888,123.356537,113.043930,123.335213,123.335213,585329355
2022-03-22,123.318352,132.293259,122.065552,130.683105,130.683105,490442802
2022-03-23,130.673325,137.494659,127.007217,129.744614,129.744614,513591538
2022-03-24,129.742813,133.441315,124.210144,130.191849,130.191849,418174239
2022-03-25,130.198273,132.099930,122.951439,126.288300,126.288300,327272851
2022-03-26,126.284653,131.279510,125.911682,128.084854,128.084854,296229548
2022-03-27,128.093750,132.913681,125.686287,132.913681,132.913681,240315656
2022-03-28,132.918732,137.356949,127.425476,127.588997,127.588997,342837709
2022-03-29,127.543594,135.474045,127.543594,130.461472,130.461472,305371886
2022-03-30,129.938705,132.775467,127.820457,132.775467,132.775467,315269344
